Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227148000, delta t=1.588898, sog_mes=0.000000, toa=41.308167, id=1, nb_error= 1, nb_r=4 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=19.701355, sog_mes=0.000000, toa=43.259827, id=1, nb_error= 1, nb_r=3 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006650, delta t=20.698822, sog_mes=0.000000, toa=48.360260, id=1, nb_error= 1, nb_r=4 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227347000, delta t=19.981598, sog_mes=0.000000, toa=52.699951, id=1, nb_error= 1, nb_r=5 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227148000, delta t=18.209869, sog_mes=0.000000, toa=59.518036, id=1, nb_error= 2, nb_r=5 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=21.137146, sog_mes=0.000000, toa=73.439667, id=1, nb_error= 2, nb_r=5 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227148000, delta t=19.261932, sog_mes=0.000000, toa=78.779968, id=1, nb_error= 3, nb_r=6 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227148000, delta t=1.579834, sog_mes=0.000000, toa=101.299713, id=1, nb_error= 4, nb_r=9 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227347000, delta t=21.781006, sog_mes=0.000000, toa=103.020508, id=1, nb_error= 2, nb_r=9 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=20.159515, sog_mes=0.000000, toa=103.259583, id=1, nb_error= 3, nb_r=7 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227148000, delta t=18.962646, sog_mes=0.000000, toa=120.262360, id=1, nb_error= 5, nb_r=10 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=21.139740, sog_mes=0.000000, toa=133.442841, id=1, nb_error= 4, nb_r=9 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227148000, delta t=20.277771, sog_mes=0.000000, toa=140.540131, id=1, nb_error= 6, nb_r=11 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227148000, delta t=1.298431, sog_mes=0.000000, toa=141.838562, id=1, nb_error= 7, nb_r=12 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227148000, delta t=1.599213, sog_mes=0.000000, toa=161.317505, id=1, nb_error= 8, nb_r=14 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=19.199280, sog_mes=0.000000, toa=162.299286, id=1, nb_error= 5, nb_r=11 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227148000, delta t=18.960266, sog_mes=0.000000, toa=180.277771, id=1, nb_error= 9, nb_r=15 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227867000, delta t=28.681641, sog_mes=0.100000, toa=191.199463, id=1, nb_error= 1, nb_r=17 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=21.138763, sog_mes=0.000000, toa=193.442383, id=1, nb_error= 6, nb_r=13 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227148000, delta t=20.262390, sog_mes=0.000000, toa=200.540161, id=1, nb_error= 10, nb_r=16 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227148000, delta t=1.298157, sog_mes=0.000000, toa=201.838318, id=1, nb_error= 11, nb_r=17 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227148000, delta t=1.599915, sog_mes=0.000000, toa=221.302032, id=1, nb_error= 12, nb_r=19, perc.=0.631579 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=19.201202, sog_mes=0.000000, toa=222.301208, id=1, nb_error= 7, nb_r=15 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=310705000, delta t=19.642029, sog_mes=0.000000, toa=227.942413, id=1, nb_error= 1, nb_r=22, perc.=0.045455 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227148000, delta t=18.959869, sog_mes=0.000000, toa=240.261902, id=1, nb_error= 13, nb_r=20, perc.=0.650000 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227148000, delta t=20.278595, sog_mes=0.000000, toa=260.540497, id=1, nb_error= 14, nb_r=21, perc.=0.666667 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227148000, delta t=1.301788, sog_mes=0.000000, toa=261.842285, id=1, nb_error= 15, nb_r=22, perc.=0.681818 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227148000, delta t=1.600128, sog_mes=0.000000, toa=281.301819, id=1, nb_error= 16, nb_r=24, perc.=0.666667 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=19.197021, sog_mes=0.000000, toa=282.300568, id=1, nb_error= 8, nb_r=19, perc.=0.421053 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227148000, delta t=18.959839, sog_mes=0.000000, toa=300.261658, id=1, nb_error= 17, nb_r=25, perc.=0.680000 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=20.105072, sog_mes=0.000000, toa=313.446228, id=1, nb_error= 9, nb_r=21, perc.=0.428571 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227148000, delta t=20.298431, sog_mes=0.000000, toa=320.560089, id=1, nb_error= 18, nb_r=26, perc.=0.692308 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227148000, delta t=0.423035, sog_mes=0.000000, toa=320.983124, id=1, nb_error= 19, nb_r=27, perc.=0.703704 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227148000, delta t=19.094330, sog_mes=0.000000, toa=340.077454, id=1, nb_error= 20, nb_r=28, perc.=0.714286 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227148000, delta t=1.920715, sog_mes=0.000000, toa=341.998169, id=1, nb_error= 21, nb_r=29, perc.=0.724138 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227006680, delta t=19.200928, sog_mes=0.000000, toa=342.300018, id=1, nb_error= 10, nb_r=23, perc.=0.434783 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227148000, delta t=18.279175, sog_mes=0.000000, toa=360.277344, id=1, nb_error= 22, nb_r=30, perc.=0.733333 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227867000, delta t=20.520416, sog_mes=0.300000, toa=361.700684, id=1, nb_error= 2, nb_r=33, perc.=0.060606 
Alert21: RI is a multiple of the RI specified by standard, channel=1, mmsi=227006680, delta t=19.999390, sog_mes=0.000000, toa=373.340881, id=1, nb_error= 11, nb_r=25, perc.=0.440000 
Alert21: RI is a multiple of the RI specified by standard, channel=2, mmsi=227148000, delta t=20.263123, sog_mes=0.000000, toa=380.540466, id=1, nb_error= 23, nb_r=31, perc.=0.741935 
