Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227635210, delta t=5.640259, sog_mes=8.800000, toa=17.680298, id=3, nb_error= 1, nb_r=2 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227635210, delta t=5.719025, sog_mes=8.800000, toa=23.399323, id=1, nb_error= 2, nb_r=3 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227635210, delta t=3.719055, sog_mes=8.800000, toa=27.118378, id=1, nb_error= 3, nb_r=4 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227635210, delta t=1.921417, sog_mes=8.800000, toa=29.039795, id=1, nb_error= 4, nb_r=5 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227635210, delta t=5.999664, sog_mes=8.200000, toa=35.039459, id=1, nb_error= 5, nb_r=6 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227148000, delta t=17.855927, sog_mes=0.000000, toa=39.719269, id=1, nb_error= 1, nb_r=2 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227148000, delta t=1.588898, sog_mes=0.000000, toa=41.308167, id=1, nb_error= 2, nb_r=3 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=228431900, delta t=14.620972, sog_mes=0.000000, toa=49.719849, id=3, nb_error= 1, nb_r=4 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227635210, delta t=5.817627, sog_mes=8.200000, toa=53.478180, id=1, nb_error= 6, nb_r=9 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=228431900, delta t=5.398560, sog_mes=0.000000, toa=55.118408, id=1, nb_error= 2, nb_r=5 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227635210, delta t=4.361450, sog_mes=8.600000, toa=57.839630, id=1, nb_error= 7, nb_r=10 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227635210, delta t=2.078644, sog_mes=8.700000, toa=59.918274, id=1, nb_error= 8, nb_r=11 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=228431900, delta t=1.200928, sog_mes=0.000000, toa=63.318481, id=3, nb_error= 3, nb_r=6 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227635210, delta t=5.400146, sog_mes=8.900000, toa=65.318420, id=1, nb_error= 9, nb_r=12 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227635210, delta t=1.760864, sog_mes=8.900000, toa=67.079285, id=1, nb_error= 10, nb_r=13 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227148000, delta t=3.061951, sog_mes=0.000000, toa=81.841919, id=1, nb_error= 3, nb_r=4 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227148000, delta t=17.877960, sog_mes=0.000000, toa=99.719879, id=1, nb_error= 4, nb_r=5 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227148000, delta t=1.579834, sog_mes=0.000000, toa=101.299713, id=1, nb_error= 5, nb_r=6 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228394000, delta t=9.227875, sog_mes=0.000000, toa=120.007782, id=1, nb_error= 1, nb_r=11 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=228431900, delta t=0.563690, sog_mes=0.000000, toa=138.642242, id=3, nb_error= 4, nb_r=16 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228431900, delta t=1.337769, sog_mes=0.000000, toa=139.980011, id=3, nb_error= 5, nb_r=17 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227148000, delta t=1.298431, sog_mes=0.000000, toa=141.838562, id=1, nb_error= 6, nb_r=7 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=226263000, delta t=9.059601, sog_mes=0.000000, toa=142.639648, id=3, nb_error= 1, nb_r=2 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=226263000, delta t=9.200409, sog_mes=0.000000, toa=151.840057, id=3, nb_error= 2, nb_r=3 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227802100, delta t=9.161865, sog_mes=11.200000, toa=152.079651, id=1, nb_error= 1, nb_r=14 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227148000, delta t=17.879730, sog_mes=0.000000, toa=159.718292, id=1, nb_error= 7, nb_r=8 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227148000, delta t=1.599213, sog_mes=0.000000, toa=161.317505, id=1, nb_error= 8, nb_r=9 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=226263000, delta t=11.077881, sog_mes=0.000000, toa=162.917938, id=3, nb_error= 3, nb_r=4 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228431900, delta t=7.753235, sog_mes=0.000000, toa=174.439392, id=3, nb_error= 6, nb_r=22 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=228431900, delta t=0.679077, sog_mes=0.000000, toa=175.118469, id=3, nb_error= 7, nb_r=23 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228431900, delta t=10.880066, sog_mes=0.000000, toa=185.998535, id=3, nb_error= 8, nb_r=24 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=228431900, delta t=0.681274, sog_mes=0.000000, toa=186.679810, id=3, nb_error= 9, nb_r=25 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228431900, delta t=5.301605, sog_mes=0.000000, toa=191.981415, id=3, nb_error= 10, nb_r=26 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227148000, delta t=1.298157, sog_mes=0.000000, toa=201.838318, id=1, nb_error= 9, nb_r=10 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228431900, delta t=5.982819, sog_mes=0.000000, toa=201.981293, id=3, nb_error= 11, nb_r=28 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=228431900, delta t=0.258026, sog_mes=0.000000, toa=202.239319, id=3, nb_error= 12, nb_r=29 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=228431900, delta t=5.302490, sog_mes=0.000000, toa=214.982452, id=3, nb_error= 13, nb_r=32 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=228431900, delta t=0.098145, sog_mes=0.100000, toa=218.318665, id=3, nb_error= 14, nb_r=34, perc.=0.411765 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227148000, delta t=17.863800, sog_mes=0.000000, toa=219.702118, id=1, nb_error= 10, nb_r=11 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227148000, delta t=1.599915, sog_mes=0.000000, toa=221.302032, id=1, nb_error= 11, nb_r=12, perc.=0.916667 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228431900, delta t=8.344543, sog_mes=0.000000, toa=226.663208, id=1, nb_error= 15, nb_r=35, perc.=0.428571 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227006650, delta t=11.016418, sog_mes=0.000000, toa=228.401154, id=3, nb_error= 1, nb_r=20 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227006680, delta t=11.039917, sog_mes=0.000000, toa=233.341125, id=3, nb_error= 1, nb_r=8 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227006650, delta t=9.266113, sog_mes=0.000000, toa=237.667267, id=1, nb_error= 2, nb_r=21 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227148000, delta t=1.301788, sog_mes=0.000000, toa=261.842285, id=1, nb_error= 12, nb_r=13, perc.=0.923077 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227148000, delta t=17.859406, sog_mes=0.000000, toa=279.701691, id=1, nb_error= 13, nb_r=14, perc.=0.928571 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227148000, delta t=1.600128, sog_mes=0.000000, toa=281.301819, id=1, nb_error= 14, nb_r=15, perc.=0.933333 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227801800, delta t=11.000061, sog_mes=11.900000, toa=282.779663, id=3, nb_error= 1, nb_r=28, perc.=0.035714 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227148000, delta t=0.423035, sog_mes=0.000000, toa=320.983124, id=1, nb_error= 15, nb_r=16, perc.=0.937500 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=228431900, delta t=9.261688, sog_mes=0.300000, toa=325.259949, id=3, nb_error= 16, nb_r=43, perc.=0.372093 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228431900, delta t=1.298523, sog_mes=0.300000, toa=326.558472, id=3, nb_error= 17, nb_r=44, perc.=0.386364 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227806300, delta t=11.381287, sog_mes=10.100000, toa=340.179840, id=3, nb_error= 1, nb_r=33, perc.=0.030303 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227148000, delta t=1.920715, sog_mes=0.000000, toa=341.998169, id=1, nb_error= 16, nb_r=17, perc.=0.941176 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227806400, delta t=11.481232, sog_mes=9.400000, toa=394.101044, id=1, nb_error= 1, nb_r=36, perc.=0.027778 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227148000, delta t=1.915283, sog_mes=0.000000, toa=402.020538, id=1, nb_error= 17, nb_r=18, perc.=0.944444 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=228431900, delta t=1.496735, sog_mes=2.000000, toa=417.277954, id=3, nb_error= 18, nb_r=62, perc.=0.290323 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228431900, delta t=0.382385, sog_mes=2.000000, toa=417.660339, id=3, nb_error= 19, nb_r=63, perc.=0.301587 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228431900, delta t=5.016876, sog_mes=4.500000, toa=459.997864, id=3, nb_error= 20, nb_r=71, perc.=0.281690 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227002630, delta t=11.039337, sog_mes=0.000000, toa=467.277863, id=3, nb_error= 1, nb_r=2 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227806500, delta t=9.438629, sog_mes=102.300003, toa=480.156830, id=1, nb_error= 1, nb_r=40 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228394000, delta t=10.800446, sog_mes=0.000000, toa=480.718292, id=3, nb_error= 2, nb_r=43, perc.=0.046512 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227570230, delta t=11.200958, sog_mes=4.200000, toa=483.420715, id=3, nb_error= 1, nb_r=42, perc.=0.023810 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227002630, delta t=8.904999, sog_mes=0.000000, toa=486.344238, id=1, nb_error= 2, nb_r=3 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227802100, delta t=11.582489, sog_mes=11.400000, toa=513.499695, id=3, nb_error= 2, nb_r=46, perc.=0.043478 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228431900, delta t=1.200592, sog_mes=4.800000, toa=516.181213, id=3, nb_error= 21, nb_r=76, perc.=0.276316 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=228431900, delta t=0.118835, sog_mes=4.800000, toa=516.300049, id=3, nb_error= 22, nb_r=77, perc.=0.285714 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=226263000, delta t=11.420654, sog_mes=0.000000, toa=523.258911, id=3, nb_error= 4, nb_r=35, perc.=0.114286 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=228431900, delta t=5.039551, sog_mes=4.900000, toa=533.380676, id=3, nb_error= 23, nb_r=80, perc.=0.287500 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=2, mmsi=227006680, delta t=18.839020, sog_mes=0.000000, toa=582.219604, id=3, nb_error= 2, nb_r=19 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227006650, delta t=8.540039, sog_mes=0.000000, toa=587.543823, id=1, nb_error= 3, nb_r=46, perc.=0.065217 
Alert22: RI does not respect the vessel velocity specified by the AIS, channel=1, mmsi=227806500, delta t=9.438721, sog_mes=102.300003, toa=600.156982, id=1, nb_error= 2, nb_r=52, perc.=0.038462 
