Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 1, TS==1114, toa=96.917236, slot_timeout =1 , slot_offset = -1, nb_error= 1, nb_r=9 
Alert3 : TS was not reserved by the ship mmsi=227347000, mes id = 1, TS==1343, toa=103.020508, slot_timeout =2 , slot_offset = -1, nb_error= 1, nb_r=9 
Alert3 : TS was not reserved by the ship mmsi=228431900, mes id = 1, TS==1480, toa=106.679718, slot_timeout =4 , slot_offset = -1, nb_error= 1, nb_r=14 
Alert3 : TS was not reserved by the ship mmsi=228431900, mes id = 3, TS=726 , toa=146.558685, slot_increment = -1, keep_flag = -1, nb_error= 2, nb_r=22, perc.=0.090909
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 1, TS==1116, toa=156.958435, slot_timeout =0 , slot_offset = 2265, nb_error= 2, nb_r=15 
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 1, TS==1892, toa=177.645752, slot_timeout =1 , slot_offset = -1, nb_error= 3, nb_r=17 
Alert3 : TS was not reserved by the ship mmsi=228431900, mes id = 3, TS=2230 , toa=186.679810, slot_increment = 72, keep_flag = 0, nb_error= 3, nb_r=29, perc.=0.103448
Alert3 : TS was not reserved by the ship mmsi=228431900, mes id = 3, TS=554 , toa=201.981293, slot_increment = 410, keep_flag = 0, nb_error= 4, nb_r=32, perc.=0.125000
Alert3 : TS was not reserved by the ship mmsi=228431900, mes id = 3, TS=564 , toa=202.239319, slot_increment = 279, keep_flag = 0, nb_error= 5, nb_r=33, perc.=0.151515
Alert3 : TS was not reserved by the ship mmsi=228431900, mes id = 3, TS=1163 , toa=218.220520, slot_increment = 569, keep_flag = 0, nb_error= 6, nb_r=37, perc.=0.162162
Alert3 : TS was not reserved by the ship mmsi=228431900, mes id = 3, TS=1167 , toa=218.318665, slot_increment = 0, keep_flag = 0, nb_error= 7, nb_r=38, perc.=0.184211
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=2248 , toa=247.145386, slot_increment = -1, keep_flag = -1, nb_error= 4, nb_r=24, perc.=0.166667
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=772 , toa=267.784454, slot_increment = -1, keep_flag = -1, nb_error= 5, nb_r=26, perc.=0.192308
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=1547 , toa=288.445282, slot_increment = -1, keep_flag = -1, nb_error= 6, nb_r=28, perc.=0.214286
Alert3 : TS was not reserved by the ship mmsi=228431900, mes id = 3, TS=1822 , toa=295.781952, slot_increment = -1, keep_flag = -1, nb_error= 8, nb_r=47, perc.=0.170213
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=397 , toa=317.784790, slot_increment = -1, keep_flag = -1, nb_error= 7, nb_r=31, perc.=0.225806
Alert3 : TS was not reserved by the ship mmsi=228431900, mes id = 3, TS=1042 , toa=334.981445, slot_increment = -1, keep_flag = -1, nb_error= 9, nb_r=54, perc.=0.166667
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=0 , toa=367.200928, slot_increment = -1, keep_flag = -1, nb_error= 8, nb_r=36, perc.=0.222222
Alert3 : TS was not reserved by the ship mmsi=227867000, mes id = 3, TS=1694 , toa=412.380280, slot_increment = -1, keep_flag = -1, nb_error= 1, nb_r=37, perc.=0.027027
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=1931 , toa=418.684814, slot_increment = -1, keep_flag = -1, nb_error= 9, nb_r=41, perc.=0.219512
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=1511 , toa=467.484497, slot_increment = -1, keep_flag = -1, nb_error= 10, nb_r=45, perc.=0.222222
Alert3 : TS was not reserved by the ship mmsi=228431900, mes id = 3, TS=1941 , toa=478.958435, slot_increment = 497, keep_flag = 0, nb_error= 10, nb_r=89, perc.=0.112360
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=2 , toa=487.260254, slot_increment = -1, keep_flag = -1, nb_error= 11, nb_r=47, perc.=0.234043
Alert3 : TS was not reserved by the ship mmsi=227347000, mes id = 3, TS=183 , toa=492.084259, slot_increment = -1, keep_flag = -1, nb_error= 2, nb_r=47, perc.=0.042553
Alert3 : TS was not reserved by the ship mmsi=228431900, mes id = 3, TS=1087 , toa=516.181213, slot_increment = 116, keep_flag = 0, nb_error= 11, nb_r=96, perc.=0.114583
Alert3 : TS was not reserved by the ship mmsi=228431900, mes id = 3, TS=1091 , toa=516.300049, slot_increment = 223, keep_flag = 0, nb_error= 12, nb_r=97, perc.=0.123711
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=1192 , toa=518.983948, slot_increment = -1, keep_flag = -1, nb_error= 12, nb_r=50, perc.=0.240000
Alert3 : TS was not reserved by the ship mmsi=227006650, mes id = 3, TS=409 , toa=558.105469, slot_increment = -1, keep_flag = -1, nb_error= 13, nb_r=54, perc.=0.240741
Alert3 : TS was not reserved by the ship mmsi=228431900, mes id = 3, TS=693 , toa=565.678864, slot_increment = -1, keep_flag = -1, nb_error= 13, nb_r=111, perc.=0.117117
